formula,gen,out_of_range,tc_ideal_K,tc_hw_K
S1.04Hg2.34Ni1.42Sr1.37,random,False,13.83,13.37
La5.75Tl4.19Cu5.43O1.25,cuprate,False,38.96,38.28
As4.29Ba5.01Ni0.93F5.26,random,False,14.18,13.19
Ca1.15La1.35Cu4.9O2.97,cuprate,False,49.89,45.52
Fe2.45P3.18Ca3.76,iron,False,16.12,14.59
Y4.21F2.07Tl5.25Co5.76Ge4.39,random,False,19.91,19.37
Fe5.96As2.54Ba0.83,iron,False,8.81,9.19
K0.97Mo1.92Hg3.27,random,False,4.47,4.64
Ba3.04Ca3.36Cu1.57O1.22,cuprate,False,45.97,33.91
Hg2.57P3.77H1.33Mo5.14O1.18,random,False,10.34,10.87
Tl3.19Hg1.01Cu1.8O3.74,cuprate,False,47.28,44.44
Fe5.25P1.98Ba5.88,iron,False,11.13,10.54
Ba5.52Bi2.85Cu2.74O5.84,cuprate,False,40.04,39.06
La4.12Cu0.19O2.84,cuprate,False,16.9,15.31
Ge0.6Ba1.07,random,False,5.5,5.45
Nd1.51Cu2.77O1.17,cuprate,False,32.38,25.31
Fe0.52As5.67Sr4.75,iron,False,7.6,7.44
C0.74Tl5.0,random,False,7.35,11.76
Fe5.14As0.23Y0.91,iron,False,9.54,9.13
Ba5.74K2.96,random,False,2.17,2.22
Y1.95Tl3.76Cu3.61O1.04,cuprate,False,41.87,39.32
Bi5.65Cu2.82O0.24,cuprate,False,9.2,9.38
Tl2.23S0.78Y1.96F2.16,random,False,12.97,12.57
As2.08Nb5.72Hg2.54Pb3.33Ba0.93,random,False,9.61,9.42
Ti0.92Nb1.26S5.22,random,False,5.97,5.86
La5.81Tl2.16Cu1.49O5.71,cuprate,False,31.46,28.76
Y0.96F5.96,random,False,7.21,6.9
F4.63C0.87Sn1.28,random,True,6.77,6.93
Tl4.67O0.67Zr4.6As5.67Ba1.74,random,False,18.67,18.8
Fe4.31Te2.3Tl1.76,iron,False,5.62,5.72
Ca3.25Cu3.32Hg5.18,random,False,22.59,21.1
Bi1.76Cu4.22O1.68,cuprate,False,15.37,16.11
Sn3.45Cu5.43O1.5,random,False,13.14,12.55
Ca2.26Cu0.55O2.69,cuprate,False,45.91,37.97
Y1.97La2.18Cu4.14O2.67,cuprate,False,47.33,42.34
Nd0.15Ca2.27Cu0.47O5.35,cuprate,False,52.11,48.7
Fe3.83P0.37Ba5.66,iron,False,11.29,10.45
Sn3.89Y1.27,random,False,2.69,2.73
Hg0.12Y1.44As2.72Nb5.01Ni2.31,random,False,8.85,9.08
Nd0.31Sr3.82Cu0.27O0.97,cuprate,False,38.48,35.36
Ba0.32Cu3.14O4.87,cuprate,False,42.24,32.23
Zr5.96B5.93As2.5K1.95Sr4.61,random,False,11.37,11.54
Ca5.03Ni3.66,random,False,7.71,28.05
C3.29Y4.79,random,False,8.9,8.86
Ca3.84Sr2.05Cu0.64O4.38,cuprate,False,56.93,54.57
Hg0.52Ti4.89H1.27Sr0.29,random,False,21.99,20.68
Tl4.69Sr5.57Cu1.59O1.24,cuprate,False,40.64,38.84
Fe1.12P0.62Ba4.86,iron,False,10.51,10.47
Fe1.78P2.13Bi0.87,iron,False,6.92,6.58
Tl2.15B2.57,random,False,6.91,7.7
Bi5.27Mo3.56O0.17Ba2.09,random,False,11.51,10.87
Y1.54La5.3Cu0.28O0.25,cuprate,False,24.52,23.42
Se1.13Y2.34Mo2.56Ba4.24,random,False,10.38,9.28
Ca1.19La4.67Cu4.52Ni2.34Fe5.39,random,False,11.67,11.92
Ba5.77Cu3.19O3.92,cuprate,False,44.71,42.21
Ni3.21V1.0Ba3.86Zr1.44Sn1.23,random,False,5.84,5.8
Sr3.47Nd0.14Cu2.27O2.05,cuprate,False,51.3,50.8
Sr5.77La4.43Cu4.9O4.78,cuprate,False,53.5,49.65
Bi0.26Cu1.22O0.21,cuprate,False,16.04,15.94
Y1.15F3.3Fe1.67,random,False,15.29,15.09
S1.81Sb3.86,random,False,3.21,3.18
Bi1.18Tl0.2Cu2.84O2.17,cuprate,False,23.73,21.27
Pb5.66K5.36Zr3.64Nb2.12Mo0.19,random,False,3.83,3.9
Fe1.32P3.27Y0.62,iron,False,8.81,8.98
Fe2.43Se4.3Tl0.37,iron,False,5.76,5.4
Fe5.63As2.02Ba3.82,iron,False,8.52,6.91
Fe4.96Te2.94Ca1.32,iron,False,10.5,9.7
Tl2.43Cu0.98O5.48,cuprate,False,19.83,20.29
Nb5.56La2.42,random,False,2.51,2.76
Fe1.69P2.64Sr2.31,iron,False,9.99,9.19
Ca4.58Nd4.67Cu5.81O5.86,cuprate,False,53.81,52.4
Bi4.81Cu4.56O2.55,cuprate,False,11.53,10.83
Ge2.55As2.36Pb0.98,random,False,3.93,3.85
La2.32Cu0.54O4.56,cuprate,False,17.2,17.84
Fe2.79Se4.36Tl3.62,iron,False,5.43,5.95
La2.81Cu2.97O1.92,cuprate,False,30.58,30.76
Y5.83La0.11Cu4.12O4.51,cuprate,False,44.59,42.54
Ca5.66La1.85Cu0.79O2.1,cuprate,False,47.82,45.22
Nd1.3La2.0Cu1.64O5.52,cuprate,False,24.79,22.83
Tl1.62Zr0.92Mo1.92B3.83,random,False,8.27,8.36
Sr5.66Si1.31Se1.97,random,False,8.93,8.35
Bi2.55Cu2.48O2.78,cuprate,False,10.47,10.69
Sr2.39Hg1.17Cu4.06O4.63,cuprate,False,65.5,65.41
La4.39Cu0.58O5.04,cuprate,False,18.08,18.94
Mo1.97Ca0.47Pb2.57La5.53O2.8,random,False,16.68,15.33
Ti5.99Zr1.32,random,False,7.9,8.3
V1.7S4.13Ge0.78Te0.91Sr0.21,random,False,6.42,5.9
Tl0.33Ca1.34Bi2.95Y0.42Hg1.46,random,False,11.24,11.79
Ca2.26Cu1.85O3.51,cuprate,False,46.51,43.42
Ba1.36Cu1.8O2.24,cuprate,False,50.94,47.04
Bi0.17Cu1.61O0.14,cuprate,False,13.92,11.78
S5.88Se0.91Ti4.08Fe5.69Si3.46,random,False,12.78,12.19
Fe1.59P4.31La1.43,iron,False,6.76,15.95
Bi5.83Tl2.77Ba4.82Mg5.11H5.52,random,False,27.16,27.78
Ba4.75Hg3.0Cu0.81O3.53,cuprate,False,55.91,54.96
Fe3.76P4.48Nd2.26,iron,False,7.78,7.94
P3.95Cu5.67As4.65,random,False,9.81,9.51
Bi5.35Cu5.27O5.95,cuprate,False,10.47,9.72
Fe1.06P4.52Ba4.95,iron,False,9.41,9.7
La0.65Sr1.99Cu0.12O1.74,cuprate,False,45.09,41.85
Bi2.73Sb1.34,random,False,1.92,1.9
Y2.01Bi2.58Cu2.47O4.61,cuprate,False,23.22,22.38
Cu1.46Tl4.97Ca0.74Mo3.55Hg3.42,random,False,11.39,11.2
Fe0.16Te0.61Ca0.85,iron,False,13.19,12.36
Rb4.98Sb2.72O0.71Ti1.81,random,False,14.65,14.56
Fe3.05Te1.73Tl1.22,iron,False,5.62,5.6
Ti3.96Sr2.4,random,False,3.88,3.96
Rb4.48Sr1.97,random,False,1.88,1.87
Se0.98Ge5.31Ca0.5Co5.44,random,False,8.15,7.35
La3.93V1.5Tl3.66,random,False,2.52,2.64
Sr0.52Cu1.89O2.97,cuprate,False,44.34,43.15
La1.98Cu4.67O4.88,cuprate,False,30.91,27.58
Nd4.37Cu0.8O1.73,cuprate,False,22.37,20.79
F5.91Ge2.47Cu4.53P5.06,random,False,12.35,11.85
O3.43Sr2.78Hg1.33Mo3.66Ge2.09,random,False,22.31,19.73
Sr3.18Cu3.48O3.45,cuprate,False,46.13,33.24
Hg2.03Y1.03Cu4.25O5.52,cuprate,False,62.21,53.98
Fe5.51P2.39Y2.55,iron,False,10.57,35.14
O0.42C3.14,random,False,5.34,5.49
Fe5.2As0.56Hg4.76,iron,False,7.81,8.44
Hg0.52Cu1.59O1.46,cuprate,False,40.46,37.58
Sr0.44La3.66Cu2.45O0.46,cuprate,False,37.23,38.44
Fe2.73As5.96Hg2.02,iron,False,7.3,7.01
La2.58Bi2.65Cu2.24O2.1,cuprate,False,21.18,19.98
Sn1.34O4.39Sr4.84Pb1.39Fe5.71,random,False,31.77,30.15
S4.24Se2.03Te3.16Hg1.3,random,False,5.22,5.21
Nd2.53Hg4.33Cu0.62O2.56,cuprate,False,45.6,42.74
Ca5.53Nd5.0Cu3.39O1.93,cuprate,False,45.16,42.93
La4.27Hg3.23Cu2.71O4.95,cuprate,False,55.56,50.13
Ti0.35V2.99O3.5,random,False,8.3,8.52
Fe0.27As3.84Hg0.78,iron,False,6.72,6.35
Mo3.49As0.14Co3.09Ca3.7H2.27,random,False,17.91,16.91
Y2.02Cu5.99O0.49,cuprate,False,28.07,28.29
Fe3.95As3.75Y4.35,iron,False,7.16,7.64
Fe1.76Se3.58La1.57,iron,False,5.58,5.62
Bi0.28Nd1.29Cu2.62O2.87,cuprate,False,30.46,27.63
Hg5.03Pb1.96Ti1.65Te1.82K0.98,random,False,11.15,10.35
F5.13Co5.51Se0.47Ge0.84,random,False,8.06,7.48
Sr5.82Hg4.15Cu1.37O5.65,cuprate,False,58.06,55.57
B3.34Pb5.92H1.63,random,False,6.17,6.07
Mo3.46Bi1.77Te1.69Mg0.43Ba3.21,random,False,15.18,13.18
Hg0.29Sn0.68Fe2.24,random,False,8.01,8.22
Mo3.0Sn1.71Ca1.14Sr4.23,random,False,5.78,13.73
Sn2.68Se0.14F2.47Mo0.88,random,False,7.49,6.97
Ba1.89Y4.89Cu5.75O0.18,cuprate,False,39.76,37.61
Te0.31Nb3.47La3.6,random,False,3.19,3.3
Fe2.98Te0.73Y1.8,iron,False,9.42,9.09
P4.2O5.66,random,False,3.67,3.67
Te2.9Bi0.89Pb5.06Zr3.6,random,False,4.7,4.18
Sr4.9Sn0.49Sb5.14Rb1.88,random,False,4.24,4.38
Mo1.41Sr4.88,random,False,3.4,3.37
Mo6.0Co5.23B0.97H3.63Y0.97,random,False,12.52,12.42
Nd0.96Cu2.52O4.19,cuprate,False,27.72,26.41
Ba5.39Sr0.68Cu0.92O4.54,cuprate,False,51.67,46.56
Fe0.51S2.02Se0.75,random,False,4.59,4.55
Hg5.53Cu5.18O0.12,cuprate,False,28.12,28.13
Se2.03Co3.95,random,False,3.65,3.82
Fe3.63P5.12Ba1.3,iron,False,11.19,10.62
Co3.5P3.15,random,False,4.95,5.0
Nb2.47Pb3.15V3.82,random,False,3.0,3.19
Sr1.71Si0.48Co1.89Fe5.63,random,False,10.84,10.53
Fe2.38Te4.81Tl5.26,iron,False,4.17,4.01
S5.8As4.39,random,False,3.66,3.85
Te0.4La3.8As1.89Nb1.33O1.78,random,False,8.98,8.83
Co2.77C5.19K3.64Pb1.93B0.24,random,False,9.3,9.42
Hg0.18Tl4.15,random,False,3.74,3.01
Se5.11C5.4,random,False,5.63,5.51
Si3.85Sr5.52Se0.78Nb4.68,random,False,10.04,23.71
La4.69Sr0.86Cu5.48O1.52,cuprate,False,42.66,40.96
Fe4.36P2.99Ca2.29,iron,False,14.09,13.4
Fe0.4La0.38Cu4.12Tl0.15Hg4.48,random,False,22.44,20.44
Bi5.13Tl2.65,random,False,2.2,2.14
La2.6Cu4.08O4.73,cuprate,False,29.87,28.89
Fe3.32As4.88Nd1.62,iron,False,5.98,6.0
Fe4.1Se4.39Y1.69,iron,False,8.27,8.15
Ni0.78Cu4.47F3.68,random,False,15.74,14.86
As3.24H2.15,random,False,4.25,4.27
Ba3.08Y4.63Si0.69,random,False,10.89,10.79
Fe4.3P3.68Ba3.93,iron,False,10.95,10.64
Nd5.19Tl2.48Cu2.13O0.56,cuprate,False,34.62,34.15
Tl1.49Cu4.76O0.41,cuprate,False,24.86,24.28
Tl2.26Nb5.76,random,False,2.56,2.71
Nb4.2O3.51F2.82,random,False,5.49,5.7
F0.89K3.6S0.29H5.35,random,False,18.04,17.06
Nd1.34Cu3.08O5.32,cuprate,False,27.49,27.51
Tl2.97Cu4.74O0.77,cuprate,False,26.64,24.93
Te2.06Ca2.88Zr3.84,random,False,12.9,11.14
Fe3.47As5.57La4.35,iron,False,5.31,5.42
As5.34Ti4.22,random,False,7.89,7.72
Ca0.48Nd4.05Cu1.4O5.94,cuprate,False,34.73,31.18
Mo0.23Zr2.14Ca5.39Te2.76Tl2.94,random,False,15.36,11.76
La3.69Y5.15Cu0.12O5.24,cuprate,False,28.84,26.27
Sr0.51Y5.94O4.22Co5.68,random,False,22.37,27.67
S3.5Fe5.14La5.54,random,False,7.94,7.72
Ca2.74Mg4.48,random,False,4.12,3.86
Se3.33Sr2.21,random,False,4.83,4.56
Nd2.81Cu0.7O1.69,cuprate,False,23.8,22.76
La5.07Ba1.06Cu2.1O2.63,cuprate,False,43.79,44.02
Mo0.18Si1.29,random,False,5.19,5.43
Fe4.47Te1.52Y5.51,iron,False,8.86,7.97
Zr2.42Ni0.54O1.2Mg2.3,random,False,27.82,27.39
Cu4.88Y2.71Ca4.97,random,False,9.05,9.46
Fe5.23Se0.98Bi5.35,iron,False,5.1,5.66
Sn1.32P2.66,random,False,3.42,3.11
As5.09Cu1.13,random,False,4.12,4.14
Tl5.76Hg4.27Cu5.21O1.39,cuprate,False,43.5,41.27
Nd2.03Cu0.21O2.93,cuprate,False,16.39,15.55
As3.4Mg1.46Sn2.92Mo0.74,random,False,5.61,6.06
Fe5.09Y1.48P2.79Sb2.33Rb5.24,random,False,9.97,12.81
Y1.94Cu1.3O0.43,cuprate,False,31.23,30.44
Ti3.12Sr0.46Bi4.01S4.91,random,False,8.35,7.67
S5.57Zr4.12K0.7Mo1.1Tl2.88,random,False,8.25,8.14
Rb4.56Tl1.11,random,False,2.57,2.7
Sn0.64As5.15Si1.54C0.38,random,False,6.18,6.21
Sb2.99Y1.57P2.07B1.92,random,False,8.07,7.45
Fe4.79P5.21Sr5.07,iron,False,10.32,8.91
Sn1.48Hg4.02,random,False,3.78,3.76
F5.83Sn1.51Mo2.53O4.27,random,False,10.29,10.54
F2.68P3.39As5.12Ti4.76,random,False,8.17,8.42
Ba3.23Cu5.15O0.33,cuprate,False,33.1,30.24
Tl4.19Y1.36Cu0.5O0.61,cuprate,False,28.3,26.61
O4.09Sn3.79Ge4.75Tl5.27C5.93,random,False,6.84,6.56
S0.52Ca4.54Ge4.85B3.85,random,False,15.01,14.27
Cu0.54Y0.55Ba4.16P5.87,random,False,19.5,18.93
As2.01H5.7,random,False,3.85,3.7
Fe2.8Te3.93Ba4.05,iron,False,8.17,7.71
Fe0.18Se5.37Y2.86,iron,False,5.3,5.41
F0.48S0.12,random,True,6.37,6.48
Te3.86Nb3.18P4.16Sb0.98Ca5.29,random,False,18.72,16.62
Te5.2Ni1.75Pb4.83,random,False,2.89,2.63
Fe0.65Se2.86Hg4.96,iron,False,7.08,7.17
Y1.07Bi5.61Cu3.32O3.13,cuprate,False,20.49,20.66
Fe1.02Se1.58Nd2.27,iron,False,5.94,6.47
Nb4.94Ti1.73P5.93K4.22,random,False,7.09,8.24
As5.55O2.31B3.74Se2.5,random,False,5.77,5.58
Bi5.95Nd3.73Cu0.14O2.8,cuprate,False,10.62,9.77
Sr2.6Tl2.92Cu0.9O3.45,cuprate,False,47.92,40.08
Se3.63Ca2.11,random,False,8.29,8.12
Sb0.69Ge4.77Tl0.73Fe0.25Ni5.5,random,False,3.93,3.94
Hg3.34La3.44Cu1.22O2.39,cuprate,False,48.86,41.98
C3.3O1.6Ba3.02As4.53S2.3,random,False,6.19,6.65
Fe1.21P1.34Y2.84,iron,False,9.4,9.73
Fe0.52Te2.61Ba3.46,iron,False,7.35,15.44
Hg5.98Cu0.96O2.14,cuprate,False,27.03,26.29
Fe2.21Te5.53Nd3.91,iron,False,4.5,4.75
Tl3.96Cu1.88O5.58,cuprate,False,23.45,22.14
Hg0.34Nd2.82Cu4.27O1.68,cuprate,False,50.32,43.81
Rb4.13V1.23As5.96,random,False,3.44,3.77
Fe0.59As3.55Sr2.35,iron,False,7.34,6.83
Tl0.14Cu3.34O1.52,cuprate,False,30.46,28.45
As0.25Si3.55Hg0.77Fe5.82Ni5.16,random,False,11.39,11.26
Fe0.15Se0.85Nd1.28,iron,False,5.09,5.53
Fe5.54K4.35As2.1,random,False,5.17,5.11
Ni3.57Se4.13Tl0.89Te1.95Si5.52,random,False,4.59,4.4
Bi0.48B3.89Hg2.55Ge2.87,random,False,9.28,9.28
Sr3.22Se2.79P5.24Sb5.23Ti4.93,random,False,13.77,14.13
B5.36H3.11Hg2.83,random,False,8.6,8.33
F4.1Ca4.97Cu1.01,random,False,32.74,31.44
La5.39Hg2.35Cu2.51O1.33,cuprate,False,45.36,40.18
Co2.24As2.24Sb5.53V3.73F4.65,random,False,11.13,10.7
Fe2.13Te2.84Y4.3,iron,False,7.19,7.34
Fe5.09As5.77Y2.31,iron,False,7.25,6.79
Ni3.79As2.26Fe3.15,random,False,3.82,4.3
Ca3.46Mg0.46B0.98,random,False,13.76,12.81
Fe1.27Se3.04Nd0.38,iron,False,5.38,5.47
Sr4.87Nb1.19,random,False,3.36,2.92
Hg5.14La2.18Cu1.47O4.05,cuprate,False,50.34,42.92
Hg4.58Ba0.9Se0.7,random,False,8.96,14.54
Bi1.77Hg4.54Se3.55,random,False,5.21,5.05
Ti1.55Mo2.37,random,False,7.49,7.53
Fe4.0As0.81La4.62,iron,False,6.16,5.74
Fe1.11Te4.51Ca3.95,iron,False,11.34,10.87
Bi0.59Ba5.59Cu0.39O3.83,cuprate,False,37.62,34.67
Bi4.27O0.11,random,False,3.14,3.33
Tl1.23Cu1.28O0.8,cuprate,False,29.04,27.21
As5.05C3.05Ba0.81,random,False,7.12,7.26
Ge4.52Fe0.38Rb4.63V2.15,random,False,4.55,4.4
Fe5.27Te4.14Y1.73,iron,False,7.43,7.03
Tl4.1Cu4.41O2.39,cuprate,False,28.85,28.32
Sr4.29Sn4.77Rb3.42Ca0.12Mg3.46,random,False,7.1,6.64
Ba1.75C4.17K4.17,random,False,12.19,11.61
Ba1.8Cu5.93O4.32,cuprate,False,47.25,45.86
Y5.95Cu5.15O5.24,cuprate,False,36.12,35.07
La3.48Cu5.64O1.4,cuprate,False,29.92,23.79
Mo0.42La5.95V5.01C2.1,random,False,8.01,8.09
La1.05V2.42Sb4.27Bi2.55F3.73,random,False,9.14,8.18
F3.57Hg5.23,random,False,5.55,5.81
Ti2.69K2.12Cu3.62,random,False,8.78,8.55
Nd1.41La4.81Cu5.8O3.25,cuprate,False,37.87,34.34
Cu4.64Sn1.72As0.88Ti5.87,random,False,17.78,16.0
Fe0.94Se5.99Hg4.14,iron,False,6.97,6.71
Hg1.15Cu5.26O1.59,cuprate,False,35.42,30.49
Y1.88Sr1.25Cu3.79O2.49,cuprate,False,53.76,27.98
Tl0.86Cu2.31O4.11,cuprate,False,28.73,28.59
La2.26Cu2.35O5.0,cuprate,False,25.18,23.83
Fe2.9Te1.45Y4.47,iron,False,8.46,7.59
Bi2.73Tl2.69Cu5.79O5.99,cuprate,False,23.97,23.34
Tl4.61Cu5.61O5.62,cuprate,False,30.16,29.31
Mg0.16O0.64As0.79Co4.61,random,False,13.09,13.36
K5.02Zr0.13Sr0.73,random,False,2.68,2.67
Hg0.65Ca1.98Cu2.32O4.43,cuprate,False,67.31,69.16
Sr3.5Tl3.93Cu2.17O2.31,cuprate,False,48.82,44.94
Fe0.54Te3.36La5.51,iron,False,4.03,3.84
P4.03Mg3.46B0.41Pb2.13,random,False,13.59,13.01
Fe1.77As4.22Bi4.65,iron,False,4.03,3.82
Fe3.29P4.6Bi3.34,iron,False,5.72,5.25
Ca1.62Tl2.28Cu2.83O0.15,cuprate,False,34.86,33.96
B3.59Mg4.51O5.0Mo0.23,random,False,21.24,20.69
Ca5.32Cu5.19O4.21,cuprate,False,41.75,32.02
Fe0.82As1.23La3.38,iron,False,4.95,5.17
Fe2.75Te0.56Nd1.61,iron,False,7.13,6.83
Bi5.36O3.7Sr2.34,random,False,8.02,7.16
Zr3.83Cu3.62Tl5.92,random,False,7.44,7.61
Tl4.95Cu3.22O1.47,cuprate,False,25.08,24.26
Fe2.82S3.03P5.2Mo3.68F1.44,random,False,9.35,8.54
Fe2.28P0.78Tl4.45,iron,False,5.51,4.96
Ca2.16Nd1.11Cu1.3O5.35,cuprate,False,52.82,50.55
Y0.51Tl4.83Cu4.62O0.16,cuprate,False,30.22,41.12
Nd0.85Cu2.94O1.03,cuprate,False,31.9,30.74
Tl1.12Nb1.94,random,False,2.36,2.68
Sb3.3H5.42Sn4.23C5.78,random,False,4.76,4.9
La0.14Bi2.45Cu2.18O2.85,cuprate,False,14.32,13.87
Nd0.6Cu0.49O5.84,cuprate,False,13.06,13.73
Fe1.14Te4.63La2.88,iron,False,3.99,4.07
Y2.71Cu4.72O3.36,cuprate,False,37.23,37.05
Ba4.81Cu5.79O1.22,cuprate,False,36.97,35.39
V3.94Te1.36,random,False,4.67,4.9
Co0.43O4.49Sr2.52Sn3.56,random,False,14.33,14.01
Fe5.91As1.26Nd3.86,iron,False,6.69,7.2
Sr1.32Hg0.42Cu2.78O1.07,cuprate,False,50.71,49.15
Ba2.43Nd1.01Cu3.66O4.69,cuprate,False,55.73,50.97
Fe1.56Se4.93Nd3.87,iron,False,5.26,5.17
Fe1.83Se1.46Ba3.34,iron,False,10.9,11.01
B0.64S4.91Tl5.66Mo5.03Hg0.76,random,False,11.0,11.12
Zr4.59Tl1.84,random,False,3.38,3.4
Ba1.21Cu3.81O0.65,cuprate,False,36.25,35.75
S4.91Sr0.63O5.43Ni4.11H3.85,random,False,8.04,6.89
B5.73Mo4.92V5.07Ba2.31K4.41,random,False,8.01,8.37
Ca0.78Te5.53K2.82Mg2.86,random,False,10.64,10.23
V1.3Cu4.66S1.01O4.64C5.35,random,False,6.9,6.56
Nb3.04Hg5.71,random,False,3.22,3.28
Tl3.02Hg2.86Cu4.73O5.18,cuprate,False,56.15,55.97
Nd0.89Bi4.55Cu5.53O1.51,cuprate,False,21.46,20.54
Nd1.28Cu3.32O2.02,cuprate,False,33.15,33.87
Mo2.47Rb4.93K1.06Se5.65Ba3.89,random,False,6.46,6.98
Tl2.87Nd2.31Cu3.32O5.48,cuprate,False,37.96,37.16
Sb3.13O5.43P3.63Pb5.8,random,False,6.34,5.96
Te0.24Cu1.33,random,False,3.5,3.44
Ca3.42As4.78Rb3.04,random,False,6.76,7.15
Sn0.67C3.3Sb2.63Tl0.54La1.71,random,False,8.08,8.11
Ba4.97Cu1.58O3.56,cuprate,False,43.62,41.63
Mg4.1Pb1.53H1.92Sr2.62Sn3.37,random,False,33.62,33.84
La0.79Pb0.64Ge1.08Fe2.42As2.27,random,False,8.3,8.49
As3.42B3.34,random,False,5.6,6.06
Fe2.43As4.85Hg4.42,iron,False,6.7,7.04
La3.05Ba1.62Cu3.28O2.4,cuprate,False,51.7,47.63
Ti2.16F4.06H5.5Nb5.06Co2.84,random,False,13.62,13.89
Ti3.65Co5.82Cu3.28Tl4.34,random,False,9.69,10.03
Nb5.68Se3.56Ca5.71,random,False,10.84,11.09
Sr3.72Cu3.0O3.75,cuprate,False,46.17,42.93
Bi4.42Cu1.29O3.79,cuprate,False,7.12,7.03
Si4.14Mo0.41,random,False,5.4,5.86
Co5.78Si5.88Ba3.41Sb5.11V2.57,random,False,10.44,10.57
Zr3.52Ge5.31Si2.07P5.52Ni3.7,random,False,7.31,7.08
La0.44Cu4.66O0.88,cuprate,False,25.78,24.16
Te2.7Fe5.67,random,False,4.46,4.4
Ca0.2Nb0.82,random,False,5.12,5.02
Ca4.04Ba1.33Cu4.17O2.65,cuprate,False,51.49,30.7
La4.2Cu2.43O5.31,cuprate,False,25.17,23.52
As3.6B5.57,random,False,5.98,6.03
Hg1.19Cu0.11O2.96,cuprate,False,30.06,28.21
Hg5.22Ba4.64Cu0.88O4.75,cuprate,False,56.71,52.5
La3.57Cu5.03O0.31,cuprate,False,25.96,24.64
Co2.6Ca5.12S5.22,random,False,14.01,14.75
Sr5.0Cu0.43O4.95,cuprate,False,39.01,38.29
Nd3.05La5.06Cu1.76O1.38,cuprate,False,31.64,30.31
Fe3.21Te5.73Y3.32,iron,False,6.19,6.44
Ba5.65Cu1.17O1.24,cuprate,False,32.97,32.31
Ni3.37Ge1.31Mo1.05Si3.68,random,False,3.53,3.45
Fe4.86P4.82Sr5.15,iron,False,10.36,10.57
Ba4.2Cu5.73O3.97,cuprate,False,46.66,46.28
Tl4.51Sr4.68Cu1.99O5.47,cuprate,False,50.89,52.24
La5.39Y5.95Cu0.59O1.51,cuprate,False,31.33,31.82
Fe4.95Se4.28Hg0.45,iron,False,8.85,9.34
Fe3.91Te3.96Ca4.85,iron,False,12.49,12.28
P5.43Bi1.08Sb2.48Cu5.5Ni5.79,random,False,9.38,9.84
Ge0.85O2.93Ti2.84Si0.3,random,False,14.05,12.58
Bi1.01Nd2.76Cu1.68O4.88,cuprate,False,18.69,18.86
Rb1.6Ba1.58Sn3.15Sb2.15,random,False,3.79,4.01
Mo4.58Ba3.23C3.81K5.44,random,False,8.75,8.23
Ti1.57Sb5.86Zr4.6,random,False,6.3,5.95
Ca0.21Hg3.61Cu2.71O4.73,cuprate,False,57.57,52.25
Bi0.98La3.06Cu2.42O5.04,cuprate,False,21.2,22.89
Nb4.26Pb1.54,random,False,2.95,2.99
Nd1.67Cu1.65O3.13,cuprate,False,26.75,25.52
Y5.83Tl2.21Cu4.43O5.86,cuprate,False,51.32,48.46
Hg2.36Nd5.81Cu4.85O2.06,cuprate,False,49.48,47.6
Fe4.33Hg3.44Sr4.46V0.75,random,False,7.79,7.6
La0.69Cu1.74O4.05,cuprate,False,23.77,24.83
Cu0.66V2.8Y0.42La2.85Sr3.83,random,False,9.15,8.65
Fe2.96As5.61Ca2.59,iron,False,8.61,8.27
Mo2.31Hg1.97,random,False,4.1,4.04
Rb1.78Y4.11Se2.02,random,False,5.06,4.83
P3.93B3.11Rb0.17Mg2.58Sr1.0,random,False,20.15,20.03
Fe3.04As4.45Sr4.88,iron,False,7.1,6.84
Pb2.83Y5.97,random,False,2.91,3.17
P0.8As4.63Pb2.85C1.31,random,False,6.09,6.06
Ca2.97La1.8Cu1.73O0.4,cuprate,False,40.59,37.65
K4.17Ti5.39P0.72Nb4.1,random,False,8.24,8.91
La1.88Nb3.54,random,False,2.43,2.61
Ni0.3Cu1.18,random,False,6.12,6.66
Bi0.35Cu3.74O3.53,cuprate,False,17.43,16.28
Fe4.22P0.28Hg5.06,iron,False,9.26,8.82
Cu1.22Pb3.04Zr3.19Te2.87,random,False,10.89,10.34
Ni0.62Y0.76Sn0.86Sb0.12S0.64,random,False,5.43,5.56
Nd2.3Cu2.76O2.2,cuprate,False,31.65,23.99
Rb3.4V5.72B0.29Bi2.78Co2.8,random,False,6.95,6.9
S3.54Ti5.74,random,False,6.64,18.16
Ca2.92Cu2.45O1.8,cuprate,False,40.32,39.64
Ba2.58Y4.64Cu0.37O4.71,cuprate,False,46.52,41.59
As5.63Te4.72Zr5.18Rb4.98Ni0.21,random,False,6.16,6.14
Fe4.68Se2.9Ba2.0,iron,False,12.0,10.95
S1.19F2.58Fe0.85H5.4,random,False,11.0,10.5
Sr3.0Cu2.06O3.51,cuprate,False,47.15,44.36
Fe1.01Se5.04Sr3.65,iron,False,8.16,8.04
V0.94C2.86Se2.23H5.11Ti5.3,random,False,7.44,7.87
Y3.5Sr3.02Cu1.21O3.28,cuprate,False,51.44,48.5
Y1.39Rb4.1,random,False,2.5,2.61
Nd5.06La4.09Cu5.96O5.98,cuprate,False,36.12,33.0
Y5.46Ba3.16Cu0.14O1.74,cuprate,False,38.65,38.0
Fe4.14As0.2Hg1.47,iron,False,9.54,8.35
Bi0.34Sr0.66Cu1.06O3.94,cuprate,False,31.73,33.55
